genres_expanded_id,id,track_uri,track_name,artist_id,artist_name,artist_uri,key,level_7,genres_albums
0,6jAyMqsMuu7NTmefJVE8Pc,spotify:track:6jAyMqsMuu7NTmefJVE8Pc,Half Moon,6qiGjRyN7TJ1GA2nXF68Hi,Blind Pilot,spotify:artist:6qiGjRyN7TJ1GA2nXF68Hi,Half Moon:Blind Pilot,0,indie folk
1,6jAyMqsMuu7NTmefJVE8Pc,spotify:track:6jAyMqsMuu7NTmefJVE8Pc,Half Moon,6qiGjRyN7TJ1GA2nXF68Hi,Blind Pilot,spotify:artist:6qiGjRyN7TJ1GA2nXF68Hi,Half Moon:Blind Pilot,1,neo mellow
2,6jAyMqsMuu7NTmefJVE8Pc,spotify:track:6jAyMqsMuu7NTmefJVE8Pc,Half Moon,6qiGjRyN7TJ1GA2nXF68Hi,Blind Pilot,spotify:artist:6qiGjRyN7TJ1GA2nXF68Hi,Half Moon:Blind Pilot,2,new americana
3,6jAyMqsMuu7NTmefJVE8Pc,spotify:track:6jAyMqsMuu7NTmefJVE8Pc,Half Moon,6qiGjRyN7TJ1GA2nXF68Hi,Blind Pilot,spotify:artist:6qiGjRyN7TJ1GA2nXF68Hi,Half Moon:Blind Pilot,3,portland indie
4,6jAyMqsMuu7NTmefJVE8Pc,spotify:track:6jAyMqsMuu7NTmefJVE8Pc,Half Moon,6qiGjRyN7TJ1GA2nXF68Hi,Blind Pilot,spotify:artist:6qiGjRyN7TJ1GA2nXF68Hi,Half Moon:Blind Pilot,4,stomp and holler
5,3CboywxfJIgvHqi2FF4exb,spotify:track:3CboywxfJIgvHqi2FF4exb,Loverboy,56OjNTX2bkrdGcB0staUOV,A-Wall,spotify:artist:56OjNTX2bkrdGcB0staUOV,Loverboy:A-Wall,0,bedroom pop
6,1Ob94QesoxHSBrypyBbdfd,spotify:track:1Ob94QesoxHSBrypyBbdfd,Shot Down,6LuN9FCkKOj5PcnpouEgny,Khalid,spotify:artist:6LuN9FCkKOj5PcnpouEgny,Shot Down:Khalid,0,pop
7,1Ob94QesoxHSBrypyBbdfd,spotify:track:1Ob94QesoxHSBrypyBbdfd,Shot Down,6LuN9FCkKOj5PcnpouEgny,Khalid,spotify:artist:6LuN9FCkKOj5PcnpouEgny,Shot Down:Khalid,1,pop r&b
8,7uDE8BEhRLOdUaRuFw6VGR,spotify:track:7uDE8BEhRLOdUaRuFw6VGR,The Captain's Dead,3XquRQYlB1gXQkYdOV7S2x,Paddy And The Rats,spotify:artist:3XquRQYlB1gXQkYdOV7S2x,The Captain's Dead:Paddy And The Rats,0,celtic punk
9,7uDE8BEhRLOdUaRuFw6VGR,spotify:track:7uDE8BEhRLOdUaRuFw6VGR,The Captain's Dead,3XquRQYlB1gXQkYdOV7S2x,Paddy And The Rats,spotify:artist:3XquRQYlB1gXQkYdOV7S2x,The Captain's Dead:Paddy And The Rats,1,celtic rock
10,7uDE8BEhRLOdUaRuFw6VGR,spotify:track:7uDE8BEhRLOdUaRuFw6VGR,The Captain's Dead,3XquRQYlB1gXQkYdOV7S2x,Paddy And The Rats,spotify:artist:3XquRQYlB1gXQkYdOV7S2x,The Captain's Dead:Paddy And The Rats,2,hungarian punk
11,7uDE8BEhRLOdUaRuFw6VGR,spotify:track:7uDE8BEhRLOdUaRuFw6VGR,The Captain's Dead,3XquRQYlB1gXQkYdOV7S2x,Paddy And The Rats,spotify:artist:3XquRQYlB1gXQkYdOV7S2x,The Captain's Dead:Paddy And The Rats,3,pirate
12,6SkAUtqtV7DPMwMSBOxnch,spotify:track:6SkAUtqtV7DPMwMSBOxnch,Blinding Lights,2A5VOguZzXMBrg27MEUZcp,Twenty One Two,spotify:artist:2A5VOguZzXMBrg27MEUZcp,Blinding Lights:Twenty One Two,0,dalarna indie
13,6SkAUtqtV7DPMwMSBOxnch,spotify:track:6SkAUtqtV7DPMwMSBOxnch,Blinding Lights,2A5VOguZzXMBrg27MEUZcp,Twenty One Two,spotify:artist:2A5VOguZzXMBrg27MEUZcp,Blinding Lights:Twenty One Two,1,pixie
14,05qCCJQJiOwvPQBb7akf1R,spotify:track:05qCCJQJiOwvPQBb7akf1R,Jamie All Over,3WfJ1OtrWI7RViX9DMyEGy,Mayday Parade,spotify:artist:3WfJ1OtrWI7RViX9DMyEGy,Jamie All Over:Mayday Parade,0,neon pop punk
15,05qCCJQJiOwvPQBb7akf1R,spotify:track:05qCCJQJiOwvPQBb7akf1R,Jamie All Over,3WfJ1OtrWI7RViX9DMyEGy,Mayday Parade,spotify:artist:3WfJ1OtrWI7RViX9DMyEGy,Jamie All Over:Mayday Parade,1,pop emo
16,05qCCJQJiOwvPQBb7akf1R,spotify:track:05qCCJQJiOwvPQBb7akf1R,Jamie All Over,3WfJ1OtrWI7RViX9DMyEGy,Mayday Parade,spotify:artist:3WfJ1OtrWI7RViX9DMyEGy,Jamie All Over:Mayday Parade,2,pop punk
17,05qCCJQJiOwvPQBb7akf1R,spotify:track:05qCCJQJiOwvPQBb7akf1R,Jamie All Over,3WfJ1OtrWI7RViX9DMyEGy,Mayday Parade,spotify:artist:3WfJ1OtrWI7RViX9DMyEGy,Jamie All Over:Mayday Parade,3,rock
18,66iP3U2QOKgevrnrbWk53S,spotify:track:66iP3U2QOKgevrnrbWk53S,"thank u, next",6MERXsiRbur2oJZFgYRDKz,Vitamin String Quartet,spotify:artist:6MERXsiRbur2oJZFgYRDKz,"thank u, next:Vitamin String Quartet",0,bow pop
19,6Z8R6UsFuGXGtiIxiD8ISb,spotify:track:6Z8R6UsFuGXGtiIxiD8ISb,Safe And Sound,4gwpcMTbLWtBUlOijbVpuu,Capital Cities,spotify:artist:4gwpcMTbLWtBUlOijbVpuu,Safe And Sound:Capital Cities,0,metropopolis
20,6Z8R6UsFuGXGtiIxiD8ISb,spotify:track:6Z8R6UsFuGXGtiIxiD8ISb,Safe And Sound,4gwpcMTbLWtBUlOijbVpuu,Capital Cities,spotify:artist:4gwpcMTbLWtBUlOijbVpuu,Safe And Sound:Capital Cities,1,modern rock
21,6BKeNWeUqxmvQ09Gxd3ZGX,spotify:track:6BKeNWeUqxmvQ09Gxd3ZGX,Know No Better,738wLrAtLtCtFOLvQBXOXp,Major Lazer,spotify:artist:738wLrAtLtCtFOLvQBXOXp,Know No Better:Major Lazer,0,dance pop
22,6BKeNWeUqxmvQ09Gxd3ZGX,spotify:track:6BKeNWeUqxmvQ09Gxd3ZGX,Know No Better,738wLrAtLtCtFOLvQBXOXp,Major Lazer,spotify:artist:738wLrAtLtCtFOLvQBXOXp,Know No Better:Major Lazer,1,edm
23,6BKeNWeUqxmvQ09Gxd3ZGX,spotify:track:6BKeNWeUqxmvQ09Gxd3ZGX,Know No Better,738wLrAtLtCtFOLvQBXOXp,Major Lazer,spotify:artist:738wLrAtLtCtFOLvQBXOXp,Know No Better:Major Lazer,2,electro house
24,6BKeNWeUqxmvQ09Gxd3ZGX,spotify:track:6BKeNWeUqxmvQ09Gxd3ZGX,Know No Better,738wLrAtLtCtFOLvQBXOXp,Major Lazer,spotify:artist:738wLrAtLtCtFOLvQBXOXp,Know No Better:Major Lazer,3,moombahton
25,6BKeNWeUqxmvQ09Gxd3ZGX,spotify:track:6BKeNWeUqxmvQ09Gxd3ZGX,Know No Better,738wLrAtLtCtFOLvQBXOXp,Major Lazer,spotify:artist:738wLrAtLtCtFOLvQBXOXp,Know No Better:Major Lazer,4,pop
26,6BKeNWeUqxmvQ09Gxd3ZGX,spotify:track:6BKeNWeUqxmvQ09Gxd3ZGX,Know No Better,738wLrAtLtCtFOLvQBXOXp,Major Lazer,spotify:artist:738wLrAtLtCtFOLvQBXOXp,Know No Better:Major Lazer,5,pop dance
27,6BKeNWeUqxmvQ09Gxd3ZGX,spotify:track:6BKeNWeUqxmvQ09Gxd3ZGX,Know No Better,738wLrAtLtCtFOLvQBXOXp,Major Lazer,spotify:artist:738wLrAtLtCtFOLvQBXOXp,Know No Better:Major Lazer,6,pop rap
28,6BKeNWeUqxmvQ09Gxd3ZGX,spotify:track:6BKeNWeUqxmvQ09Gxd3ZGX,Know No Better,738wLrAtLtCtFOLvQBXOXp,Major Lazer,spotify:artist:738wLrAtLtCtFOLvQBXOXp,Know No Better:Major Lazer,7,tropical house
29,4eS6SJczn7yay78Spw3SPy,spotify:track:4eS6SJczn7yay78Spw3SPy,Do I Wanna Know? (triple j Like A Version),3CjlHNtplJyTf9npxaPl5w,CHVRCHES,spotify:artist:3CjlHNtplJyTf9npxaPl5w,Do I Wanna Know? (triple j Like A Version):CHVRCHES,0,electropop
30,4eS6SJczn7yay78Spw3SPy,spotify:track:4eS6SJczn7yay78Spw3SPy,Do I Wanna Know? (triple j Like A Version),3CjlHNtplJyTf9npxaPl5w,CHVRCHES,spotify:artist:3CjlHNtplJyTf9npxaPl5w,Do I Wanna Know? (triple j Like A Version):CHVRCHES,1,metropopolis
31,4eS6SJczn7yay78Spw3SPy,spotify:track:4eS6SJczn7yay78Spw3SPy,Do I Wanna Know? (triple j Like A Version),3CjlHNtplJyTf9npxaPl5w,CHVRCHES,spotify:artist:3CjlHNtplJyTf9npxaPl5w,Do I Wanna Know? (triple j Like A Version):CHVRCHES,2,neo-synthpop
32,4eS6SJczn7yay78Spw3SPy,spotify:track:4eS6SJczn7yay78Spw3SPy,Do I Wanna Know? (triple j Like A Version),3CjlHNtplJyTf9npxaPl5w,CHVRCHES,spotify:artist:3CjlHNtplJyTf9npxaPl5w,Do I Wanna Know? (triple j Like A Version):CHVRCHES,3,shimmer pop
33,57uX2vR9j9DNiANDYfXw1i,spotify:track:57uX2vR9j9DNiANDYfXw1i,Never Say Never,0zOcE3mg9nS6l3yxt1Y0bK,The Fray,spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK,Never Say Never:The Fray,0,neo mellow
34,57uX2vR9j9DNiANDYfXw1i,spotify:track:57uX2vR9j9DNiANDYfXw1i,Never Say Never,0zOcE3mg9nS6l3yxt1Y0bK,The Fray,spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK,Never Say Never:The Fray,1,piano rock
35,57uX2vR9j9DNiANDYfXw1i,spotify:track:57uX2vR9j9DNiANDYfXw1i,Never Say Never,0zOcE3mg9nS6l3yxt1Y0bK,The Fray,spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK,Never Say Never:The Fray,2,pop
36,57uX2vR9j9DNiANDYfXw1i,spotify:track:57uX2vR9j9DNiANDYfXw1i,Never Say Never,0zOcE3mg9nS6l3yxt1Y0bK,The Fray,spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK,Never Say Never:The Fray,3,pop rock
37,2eJEWLQLjVXxsSHFvsPT85,spotify:track:2eJEWLQLjVXxsSHFvsPT85,Kabhi Na Kabhi,2DmMcw1UxHSzAEFrMY3r2D,Junaid Jamshed,spotify:artist:2DmMcw1UxHSzAEFrMY3r2D,Kabhi Na Kabhi:Junaid Jamshed,0,classic pakistani pop
38,2eJEWLQLjVXxsSHFvsPT85,spotify:track:2eJEWLQLjVXxsSHFvsPT85,Kabhi Na Kabhi,2DmMcw1UxHSzAEFrMY3r2D,Junaid Jamshed,spotify:artist:2DmMcw1UxHSzAEFrMY3r2D,Kabhi Na Kabhi:Junaid Jamshed,1,ghazal
39,2eJEWLQLjVXxsSHFvsPT85,spotify:track:2eJEWLQLjVXxsSHFvsPT85,Kabhi Na Kabhi,2DmMcw1UxHSzAEFrMY3r2D,Junaid Jamshed,spotify:artist:2DmMcw1UxHSzAEFrMY3r2D,Kabhi Na Kabhi:Junaid Jamshed,2,naat
40,2eJEWLQLjVXxsSHFvsPT85,spotify:track:2eJEWLQLjVXxsSHFvsPT85,Kabhi Na Kabhi,2DmMcw1UxHSzAEFrMY3r2D,Junaid Jamshed,spotify:artist:2DmMcw1UxHSzAEFrMY3r2D,Kabhi Na Kabhi:Junaid Jamshed,3,pakistani pop
41,34bkeltN0CGAKzj4DRG4sX,spotify:track:34bkeltN0CGAKzj4DRG4sX,Crying on the Dancefloor,6eJa3zG1QZLRB3xgRuyxbm,Dayglow,spotify:artist:6eJa3zG1QZLRB3xgRuyxbm,Crying on the Dancefloor:Dayglow,0,austindie
42,34bkeltN0CGAKzj4DRG4sX,spotify:track:34bkeltN0CGAKzj4DRG4sX,Crying on the Dancefloor,6eJa3zG1QZLRB3xgRuyxbm,Dayglow,spotify:artist:6eJa3zG1QZLRB3xgRuyxbm,Crying on the Dancefloor:Dayglow,1,indie rock
43,34bkeltN0CGAKzj4DRG4sX,spotify:track:34bkeltN0CGAKzj4DRG4sX,Crying on the Dancefloor,6eJa3zG1QZLRB3xgRuyxbm,Dayglow,spotify:artist:6eJa3zG1QZLRB3xgRuyxbm,Crying on the Dancefloor:Dayglow,2,modern rock
44,4LOERGk6nLbb9sLrmeCjmG,spotify:track:4LOERGk6nLbb9sLrmeCjmG,Amrit,6gWwKC0laX7pTPjNgrwvQR,Meesha Shafi,spotify:artist:6gWwKC0laX7pTPjNgrwvQR,Amrit:Meesha Shafi,0,classic pakistani pop
45,4LOERGk6nLbb9sLrmeCjmG,spotify:track:4LOERGk6nLbb9sLrmeCjmG,Amrit,6gWwKC0laX7pTPjNgrwvQR,Meesha Shafi,spotify:artist:6gWwKC0laX7pTPjNgrwvQR,Amrit:Meesha Shafi,1,pakistani pop
46,4LOERGk6nLbb9sLrmeCjmG,spotify:track:4LOERGk6nLbb9sLrmeCjmG,Amrit,6gWwKC0laX7pTPjNgrwvQR,Meesha Shafi,spotify:artist:6gWwKC0laX7pTPjNgrwvQR,Amrit:Meesha Shafi,2,sufi
47,4sofJiicQwKsRo3S1vpt39,spotify:track:4sofJiicQwKsRo3S1vpt39,Turning Me Up (Hadal Ahbek),6dO0RkhFhjMwLtLQqNgL8r,Issam Alnajjar,spotify:artist:6dO0RkhFhjMwLtLQqNgL8r,Turning Me Up (Hadal Ahbek):Issam Alnajjar,0,indonesian viral pop
48,27FjnefSYiOgaG6jhytdE2,spotify:track:27FjnefSYiOgaG6jhytdE2,Kaise Bataaoon,4fEkbug6kZzzJ8eYX6Kbbp,KK,spotify:artist:4fEkbug6kZzzJ8eYX6Kbbp,Kaise Bataaoon:KK,0,desi pop
49,27FjnefSYiOgaG6jhytdE2,spotify:track:27FjnefSYiOgaG6jhytdE2,Kaise Bataaoon,4fEkbug6kZzzJ8eYX6Kbbp,KK,spotify:artist:4fEkbug6kZzzJ8eYX6Kbbp,Kaise Bataaoon:KK,1,filmi
50,27FjnefSYiOgaG6jhytdE2,spotify:track:27FjnefSYiOgaG6jhytdE2,Kaise Bataaoon,4fEkbug6kZzzJ8eYX6Kbbp,KK,spotify:artist:4fEkbug6kZzzJ8eYX6Kbbp,Kaise Bataaoon:KK,2,modern bollywood
51,3QqOcLtTU8zzlQRJCZzttP,spotify:track:3QqOcLtTU8zzlQRJCZzttP,C'est La Vie (with bbno$ & Rich Brian),2YOYua8FpudSEiB9s88IgQ,Yung Gravy,spotify:artist:2YOYua8FpudSEiB9s88IgQ,C'est La Vie (with bbno$ & Rich Brian):Yung Gravy,0,minnesota hip hop
52,01UeBfllW39eaKdiCw556R,spotify:track:01UeBfllW39eaKdiCw556R,Out Of My Mind,2HkeqbrT7lYnGoiw7tQBqr,Gentrammel,spotify:artist:2HkeqbrT7lYnGoiw7tQBqr,Out Of My Mind:Gentrammel,0,sad lo-fi
53,01UeBfllW39eaKdiCw556R,spotify:track:01UeBfllW39eaKdiCw556R,Out Of My Mind,2HkeqbrT7lYnGoiw7tQBqr,Gentrammel,spotify:artist:2HkeqbrT7lYnGoiw7tQBqr,Out Of My Mind:Gentrammel,1,sad rap
54,0PgYPBGqF6Wm5KFHQ81nq5,spotify:track:0PgYPBGqF6Wm5KFHQ81nq5,comethru (with Bea Miller),3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,spotify:artist:3gIRvgZssIb9aiirIg0nI3,comethru (with Bea Miller):Jeremy Zucker,0,electropop
55,0PgYPBGqF6Wm5KFHQ81nq5,spotify:track:0PgYPBGqF6Wm5KFHQ81nq5,comethru (with Bea Miller),3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,spotify:artist:3gIRvgZssIb9aiirIg0nI3,comethru (with Bea Miller):Jeremy Zucker,1,pop
56,3jMeoTAxDrZfkVxMmWcWCg,spotify:track:3jMeoTAxDrZfkVxMmWcWCg,Light of Mine,5CMaNobmJYgXcfiT0zYOwi,WHIPPED CREAM,spotify:artist:5CMaNobmJYgXcfiT0zYOwi,Light of Mine:WHIPPED CREAM,0,canadian electronic
57,3jMeoTAxDrZfkVxMmWcWCg,spotify:track:3jMeoTAxDrZfkVxMmWcWCg,Light of Mine,5CMaNobmJYgXcfiT0zYOwi,WHIPPED CREAM,spotify:artist:5CMaNobmJYgXcfiT0zYOwi,Light of Mine:WHIPPED CREAM,1,edm
58,3jMeoTAxDrZfkVxMmWcWCg,spotify:track:3jMeoTAxDrZfkVxMmWcWCg,Light of Mine,5CMaNobmJYgXcfiT0zYOwi,WHIPPED CREAM,spotify:artist:5CMaNobmJYgXcfiT0zYOwi,Light of Mine:WHIPPED CREAM,2,electra
59,3jMeoTAxDrZfkVxMmWcWCg,spotify:track:3jMeoTAxDrZfkVxMmWcWCg,Light of Mine,5CMaNobmJYgXcfiT0zYOwi,WHIPPED CREAM,spotify:artist:5CMaNobmJYgXcfiT0zYOwi,Light of Mine:WHIPPED CREAM,3,electro house
60,3jMeoTAxDrZfkVxMmWcWCg,spotify:track:3jMeoTAxDrZfkVxMmWcWCg,Light of Mine,5CMaNobmJYgXcfiT0zYOwi,WHIPPED CREAM,spotify:artist:5CMaNobmJYgXcfiT0zYOwi,Light of Mine:WHIPPED CREAM,4,electronic trap
61,3jMeoTAxDrZfkVxMmWcWCg,spotify:track:3jMeoTAxDrZfkVxMmWcWCg,Light of Mine,5CMaNobmJYgXcfiT0zYOwi,WHIPPED CREAM,spotify:artist:5CMaNobmJYgXcfiT0zYOwi,Light of Mine:WHIPPED CREAM,5,vapor twitch
62,5iyNH1Dmxif1k4Nl1gMeuh,spotify:track:5iyNH1Dmxif1k4Nl1gMeuh,Masakali,5GnnSrwNCGyfAU4zuIytiS,Mohit Chauhan,spotify:artist:5GnnSrwNCGyfAU4zuIytiS,Masakali:Mohit Chauhan,0,desi pop
63,5iyNH1Dmxif1k4Nl1gMeuh,spotify:track:5iyNH1Dmxif1k4Nl1gMeuh,Masakali,5GnnSrwNCGyfAU4zuIytiS,Mohit Chauhan,spotify:artist:5GnnSrwNCGyfAU4zuIytiS,Masakali:Mohit Chauhan,1,filmi
64,5iyNH1Dmxif1k4Nl1gMeuh,spotify:track:5iyNH1Dmxif1k4Nl1gMeuh,Masakali,5GnnSrwNCGyfAU4zuIytiS,Mohit Chauhan,spotify:artist:5GnnSrwNCGyfAU4zuIytiS,Masakali:Mohit Chauhan,2,modern bollywood
65,5AiPk1WhVkVOouovFAtLFO,spotify:track:5AiPk1WhVkVOouovFAtLFO,BAAZ,1SlrUQlFRfExXSCkHsQgBc,JJ47,spotify:artist:1SlrUQlFRfExXSCkHsQgBc,BAAZ:JJ47,0,desi hip hop
66,5AiPk1WhVkVOouovFAtLFO,spotify:track:5AiPk1WhVkVOouovFAtLFO,BAAZ,1SlrUQlFRfExXSCkHsQgBc,JJ47,spotify:artist:1SlrUQlFRfExXSCkHsQgBc,BAAZ:JJ47,1,pakistani hip hop
67,683GRHUicIXky5aU1aMfW9,spotify:track:683GRHUicIXky5aU1aMfW9,Mil Zara,01pFDtbY3k5uOmy0Pbg93C,Rovalio,spotify:artist:01pFDtbY3k5uOmy0Pbg93C,Mil Zara:Rovalio,0,pakistani electronic
68,683GRHUicIXky5aU1aMfW9,spotify:track:683GRHUicIXky5aU1aMfW9,Mil Zara,01pFDtbY3k5uOmy0Pbg93C,Rovalio,spotify:artist:01pFDtbY3k5uOmy0Pbg93C,Mil Zara:Rovalio,1,pakistani pop
69,45RuoPxyyx8dMo3cPL7QwQ,spotify:track:45RuoPxyyx8dMo3cPL7QwQ,Maan Kunto Maula,4IodA7kOT3aXLU9by0lATP,Fareed Ayaz Abu Muhammad Qawwal,spotify:artist:4IodA7kOT3aXLU9by0lATP,Maan Kunto Maula:Fareed Ayaz Abu Muhammad Qawwal,0,qawwali
70,48kpWTPYYy5Edp3CHwrrOj,spotify:track:48kpWTPYYy5Edp3CHwrrOj,COMPLETE MESS,5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,spotify:artist:5Rl15oVamLq7FbSb0NNBNy,COMPLETE MESS:5 Seconds of Summer,0,boy band
71,48kpWTPYYy5Edp3CHwrrOj,spotify:track:48kpWTPYYy5Edp3CHwrrOj,COMPLETE MESS,5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,spotify:artist:5Rl15oVamLq7FbSb0NNBNy,COMPLETE MESS:5 Seconds of Summer,1,dance pop
72,48kpWTPYYy5Edp3CHwrrOj,spotify:track:48kpWTPYYy5Edp3CHwrrOj,COMPLETE MESS,5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,spotify:artist:5Rl15oVamLq7FbSb0NNBNy,COMPLETE MESS:5 Seconds of Summer,2,pop
73,48kpWTPYYy5Edp3CHwrrOj,spotify:track:48kpWTPYYy5Edp3CHwrrOj,COMPLETE MESS,5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,spotify:artist:5Rl15oVamLq7FbSb0NNBNy,COMPLETE MESS:5 Seconds of Summer,3,post-teen pop
74,3v5WRAItrZgr5vCdW3vTmz,spotify:track:3v5WRAItrZgr5vCdW3vTmz,Retrograde (feat. 6LACK & Lucky Daye),6LuN9FCkKOj5PcnpouEgny,Khalid,spotify:artist:6LuN9FCkKOj5PcnpouEgny,Retrograde (feat. 6LACK & Lucky Daye):Khalid,0,pop
75,3v5WRAItrZgr5vCdW3vTmz,spotify:track:3v5WRAItrZgr5vCdW3vTmz,Retrograde (feat. 6LACK & Lucky Daye),6LuN9FCkKOj5PcnpouEgny,Khalid,spotify:artist:6LuN9FCkKOj5PcnpouEgny,Retrograde (feat. 6LACK & Lucky Daye):Khalid,1,pop r&b
76,3csQ8JVWNQ3qrt1OswiPgt,spotify:track:3csQ8JVWNQ3qrt1OswiPgt,Dharkay Jiya,5QHScjNJhVCWz5VM3XMYZI,Call,spotify:artist:5QHScjNJhVCWz5VM3XMYZI,Dharkay Jiya:Call,0,classic pakistani pop
77,3csQ8JVWNQ3qrt1OswiPgt,spotify:track:3csQ8JVWNQ3qrt1OswiPgt,Dharkay Jiya,5QHScjNJhVCWz5VM3XMYZI,Call,spotify:artist:5QHScjNJhVCWz5VM3XMYZI,Dharkay Jiya:Call,1,pakistani pop
78,2bL2gyO6kBdLkNSkxXNh6x,spotify:track:2bL2gyO6kBdLkNSkxXNh6x,Animals,04gDigrS5kc9YWfZHwBETP,Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,Animals:Maroon 5,0,pop
79,7vvmU5ayTrVWiNVxiwHLQI,spotify:track:7vvmU5ayTrVWiNVxiwHLQI,Kaafizyada,5z64uWhlp31wS6DysFX99p,Udbhav,spotify:artist:5z64uWhlp31wS6DysFX99p,Kaafizyada:Udbhav,0,desi hip hop
80,7vvmU5ayTrVWiNVxiwHLQI,spotify:track:7vvmU5ayTrVWiNVxiwHLQI,Kaafizyada,5z64uWhlp31wS6DysFX99p,Udbhav,spotify:artist:5z64uWhlp31wS6DysFX99p,Kaafizyada:Udbhav,1,indian indie
81,7vvmU5ayTrVWiNVxiwHLQI,spotify:track:7vvmU5ayTrVWiNVxiwHLQI,Kaafizyada,5z64uWhlp31wS6DysFX99p,Udbhav,spotify:artist:5z64uWhlp31wS6DysFX99p,Kaafizyada:Udbhav,2,new delhi indie
82,3Ueq2zboxwAbsvHrOjdEqz,spotify:track:3Ueq2zboxwAbsvHrOjdEqz,MIA,4q3ewBCX7sLwd24euuV69X,Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X,MIA:Bad Bunny,0,reggaeton
83,3Ueq2zboxwAbsvHrOjdEqz,spotify:track:3Ueq2zboxwAbsvHrOjdEqz,MIA,4q3ewBCX7sLwd24euuV69X,Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X,MIA:Bad Bunny,1,trap latino
84,3Ueq2zboxwAbsvHrOjdEqz,spotify:track:3Ueq2zboxwAbsvHrOjdEqz,MIA,4q3ewBCX7sLwd24euuV69X,Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X,MIA:Bad Bunny,2,urbano latino
85,1lO9CZo6eDrOy0S7khgryG,spotify:track:1lO9CZo6eDrOy0S7khgryG,No Regrets (feat. Don Toliver),7dGJo4pcD2V6oG8kP0tJRR,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,No Regrets (feat. Don Toliver):Eminem,0,detroit hip hop
86,1lO9CZo6eDrOy0S7khgryG,spotify:track:1lO9CZo6eDrOy0S7khgryG,No Regrets (feat. Don Toliver),7dGJo4pcD2V6oG8kP0tJRR,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,No Regrets (feat. Don Toliver):Eminem,1,hip hop
87,1lO9CZo6eDrOy0S7khgryG,spotify:track:1lO9CZo6eDrOy0S7khgryG,No Regrets (feat. Don Toliver),7dGJo4pcD2V6oG8kP0tJRR,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,No Regrets (feat. Don Toliver):Eminem,2,rap
88,02nTpchENdZ4Nm8AfTmrFv,spotify:track:02nTpchENdZ4Nm8AfTmrFv,Conceited,08PvCOlef4xdOr20jFSTPd,Flo Milli,spotify:artist:08PvCOlef4xdOr20jFSTPd,Conceited:Flo Milli,0,dance pop
89,02nTpchENdZ4Nm8AfTmrFv,spotify:track:02nTpchENdZ4Nm8AfTmrFv,Conceited,08PvCOlef4xdOr20jFSTPd,Flo Milli,spotify:artist:08PvCOlef4xdOr20jFSTPd,Conceited:Flo Milli,1,pop
90,02nTpchENdZ4Nm8AfTmrFv,spotify:track:02nTpchENdZ4Nm8AfTmrFv,Conceited,08PvCOlef4xdOr20jFSTPd,Flo Milli,spotify:artist:08PvCOlef4xdOr20jFSTPd,Conceited:Flo Milli,2,r&b
91,02nTpchENdZ4Nm8AfTmrFv,spotify:track:02nTpchENdZ4Nm8AfTmrFv,Conceited,08PvCOlef4xdOr20jFSTPd,Flo Milli,spotify:artist:08PvCOlef4xdOr20jFSTPd,Conceited:Flo Milli,3,rap
92,02nTpchENdZ4Nm8AfTmrFv,spotify:track:02nTpchENdZ4Nm8AfTmrFv,Conceited,08PvCOlef4xdOr20jFSTPd,Flo Milli,spotify:artist:08PvCOlef4xdOr20jFSTPd,Conceited:Flo Milli,4,viral rap
93,2ochlNu8xd3kD6ac1Ek4iO,spotify:track:2ochlNu8xd3kD6ac1Ek4iO,Meet Me At Our Spot,7naAJDAh7AZnf18YYfQruM,Christian French,spotify:artist:7naAJDAh7AZnf18YYfQruM,Meet Me At Our Spot:Christian French,0,alt z
94,2ochlNu8xd3kD6ac1Ek4iO,spotify:track:2ochlNu8xd3kD6ac1Ek4iO,Meet Me At Our Spot,7naAJDAh7AZnf18YYfQruM,Christian French,spotify:artist:7naAJDAh7AZnf18YYfQruM,Meet Me At Our Spot:Christian French,1,electropop
95,2ochlNu8xd3kD6ac1Ek4iO,spotify:track:2ochlNu8xd3kD6ac1Ek4iO,Meet Me At Our Spot,7naAJDAh7AZnf18YYfQruM,Christian French,spotify:artist:7naAJDAh7AZnf18YYfQruM,Meet Me At Our Spot:Christian French,2,pop
96,3WXhshrs1fzwF3rQE399Gq,spotify:track:3WXhshrs1fzwF3rQE399Gq,Kill V. Maim,053q0ukIDRgzwTr4vNSwab,Grimes,spotify:artist:053q0ukIDRgzwTr4vNSwab,Kill V. Maim:Grimes,0,art pop
